BBL,Borough,Block,Lot,Name of Plan,Date Adopted,Status,Expiration,Last Updated,Disposition,Source,Justification for Inclusion,Second Evaluation Needed
5000490001,5,49,1,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000490004,5,49,4,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000490005,5,49,5,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000490006,5,49,6,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000490007,5,49,7,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000490009,5,49,9,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000490010,5,49,10,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000490011,5,49,11,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000490012,5,49,12,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000490013,5,49,13,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000490015,5,49,15,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000490016,5,49,16,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000490017,5,49,17,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000490018,5,49,18,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000490200,5,49,200,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000460001,5,46,1,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000460003,5,46,3,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000460004,5,46,4,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000460005,5,46,5,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000460006,5,46,6,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000460007,5,46,7,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000460008,5,46,8,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000460009,5,46,9,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000450001,5,45,1,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000450002,5,45,2,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000450004,5,45,4,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000450005,5,45,5,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000450006,5,45,6,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000450009,5,45,9,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000450010,5,45,10,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000440001,5,44,1,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000440004,5,44,4,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000440005,5,44,5,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000440006,5,44,6,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000440007,5,44,7,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000440008,5,44,8,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000440009,5,44,9,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000520133,5,52,133,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000520136,5,52,136,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000520138,5,52,138,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000520140,5,52,140,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000520144,5,52,144,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000520145,5,52,145,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000520147,5,52,147,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000520150,5,52,150,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000520152,5,52,152,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000520154,5,52,154,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000520156,5,52,156,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000520158,5,52,158,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000520159,5,52,159,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000520160,5,52,160,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000520161,5,52,161,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000520162,5,52,162,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000520163,5,52,163,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000520016,5,52,16,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000520018,5,52,18,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000480029,5,48,29,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000480030,5,48,30,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000480032,5,48,32,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000480033,5,48,33,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000480034,5,48,34,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000480035,5,48,35,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000480037,5,48,37,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000480038,5,48,38,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000480039,5,48,39,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000480040,5,48,40,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000480042,5,48,42,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000480045,5,48,45,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000480046,5,48,46,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000480047,5,48,47,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000480048,5,48,48,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000480049,5,48,49,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000480052,5,48,52,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000480055,5,48,55,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000470062,5,47,62,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000470064,5,47,64,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000470066,5,47,66,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000470068,5,47,68,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000470070,5,47,70,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000470072,5,47,72,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000470074,5,47,74,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000470076,5,47,76,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000470078,5,47,78,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000470080,5,47,80,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000470082,5,47,82,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5000470084,5,47,84,Jersey Street,1979,ACTIVE,2019,1985,Residential,HPD,,
5018000001,5,1800,1,Staten Island Industrial Park I,1971,EXPIRED,2011,1971,Industrial,HPD,,"yes, can't find in Digital Tax Map or OASIS"
5018000025,5,1800,25,Staten Island Industrial Park I,1971,EXPIRED,2011,1971,Industrial,HPD,,"yes, can't find in Digital Tax Map or OASIS"
5018010001,5,1801,1,Staten Island Industrial Park I,1971,EXPIRED,2011,1971,Industrial,HPD,,
5018010006,5,1801,6,Staten Island Industrial Park I,1971,EXPIRED,2011,1971,Industrial,HPD,,
5018010010,5,1801,10,Staten Island Industrial Park I,1971,EXPIRED,2011,1971,Industrial,HPD,,
5018010035,5,1801,35,Staten Island Industrial Park I,1971,EXPIRED,2011,1971,Industrial,HPD,,
5018010063,5,1801,63,Staten Island Industrial Park I,1971,EXPIRED,2011,1971,Industrial,HPD,,
5018010070,5,1801,70,Staten Island Industrial Park I,1971,EXPIRED,2011,1971,Industrial,HPD,,
5018010075,5,1801,75,Staten Island Industrial Park I,1971,EXPIRED,2011,1971,Industrial,Manual,Digital Tax Map,
5018100070,5,1810,70,Staten Island Industrial Park I,1971,EXPIRED,2011,1971,Industrial,HPD,,"yes, can't find in Digital Tax Map or OASIS"
5018100100,5,1810,100,Staten Island Industrial Park I,1971,EXPIRED,2011,1971,Industrial,HPD,,"yes, can't find in Digital Tax Map or OASIS"
5018150001,5,1815,1,Staten Island Industrial Park I,1971,EXPIRED,2011,1971,Industrial,HPD,,
5018150025,5,1815,25,Staten Island Industrial Park I,1971,EXPIRED,2011,1971,Industrial,HPD,,
5018150425,5,1815,425,Staten Island Industrial Park I,1971,EXPIRED,2011,1971,Industrial,HPD,,
5018150625,5,1815,625,Staten Island Industrial Park I,1971,EXPIRED,2011,1971,Industrial,HPD,,
5028000036,5,2800,36,Staten Island Industrial Park I,1971,EXPIRED,2011,1971,Industrial,HPD,,
5028000053,5,2800,53,Staten Island Industrial Park I,1971,EXPIRED,2011,1971,Industrial,HPD,,"yes, can't find in Digital Tax Map or OASIS"
5028000150,5,2800,150,Staten Island Industrial Park I,1971,EXPIRED,2011,1971,Industrial,HPD,,
5028000163,5,2800,163,Staten Island Industrial Park I,1971,EXPIRED,2011,1971,Industrial,HPD,,
5028000300,5,2800,300,Staten Island Industrial Park I,1971,EXPIRED,2011,1971,Industrial,HPD,,
5017700001,5,1770,1,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,"yes, can't find in Digital Tax Map or OASIS"
5017700013,5,1770,13,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,"yes, can't find in Digital Tax Map or OASIS"
5017800001,5,1780,1,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800015,5,1780,15,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800022,5,1780,22,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800027,5,1780,27,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800057,5,1780,57,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800069,5,1780,69,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800080,5,1780,80,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800085,5,1780,85,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800092,5,1780,92,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800112,5,1780,112,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800150,5,1780,150,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800151,5,1780,151,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800160,5,1780,160,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800164,5,1780,164,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800186,5,1780,186,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800197,5,1780,197,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800200,5,1780,200,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800210,5,1780,210,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800250,5,1780,250,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800260,5,1780,260,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800270,5,1780,270,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800275,5,1780,275,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017800300,5,1780,300,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017900100,5,1790,100,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5017900120,5,1790,120,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018010100,5,1801,100,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018010095,5,1801,95,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018010075,5,1801,75,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,Manual,Digital Tax Map,
5018100035,5,1810,35,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,"yes, can't find in Digital Tax Map or OASIS"
5018100050,5,1810,50,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,"yes, can't find in Digital Tax Map or OASIS"
5018100055,5,1810,55,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,"yes, can't find in Digital Tax Map or OASIS"
5018150070,5,1815,70,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150074,5,1815,74,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150075,5,1815,75,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150085,5,1815,85,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150125,5,1815,125,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150135,5,1815,135,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150150,5,1815,150,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150160,5,1815,160,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150175,5,1815,175,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150180,5,1815,180,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150181,5,1815,181,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150190,5,1815,190,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150191,5,1815,191,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150192,5,1815,192,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150199,5,1815,199,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150204,5,1815,204,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150220,5,1815,220,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150235,5,1815,235,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150251,5,1815,251,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150260,5,1815,260,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150300,5,1815,300,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150325,5,1815,325,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018150375,5,1815,375,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
5018250125,5,1825,125,Staten Island Industrial Park II,1973,EXPIRED,2013,1982,Industrial,HPD,,
